"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"POST на /oauth/token с grant_type=client_credentials","159","1. Получение токена через Client Credentials grant","","Wed Apr 08 18:35:43 UTC 2026","passed","Wed Apr 08 18:35:43 UTC 2026","","ru.learning.java.clients.api.OAuthApiClientTest","ru.learning.java.clients.api.OAuthApiClientTest","testFetchTokenClientCredentials"
"","875","2. SOAP — валидация ответа через XPath","","Wed Apr 08 18:35:40 UTC 2026","passed","Wed Apr 08 18:35:41 UTC 2026","","Тесты SoapApiClient","ru.learning.java.clients.api.SoapApiClientTest","testSoapResponseWithXPath"
"Демонстрация использования CreateUserRequest с Lombok Builder","137","20. POST запрос - создание пользователя с Builder","","Wed Apr 08 18:35:52 UTC 2026","passed","Wed Apr 08 18:35:53 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testCreateUserWithBuilder"
"Демонстрация PUT запроса с авторизацией","288","4. PUT с Basic Auth","","Wed Apr 08 18:35:54 UTC 2026","passed","Wed Apr 08 18:35:54 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testPutWithBasicAuth"
"","1101","1. SOAP — конвертация числа в слова","","Wed Apr 08 18:35:39 UTC 2026","passed","Wed Apr 08 18:35:40 UTC 2026","","Тесты SoapApiClient","ru.learning.java.clients.api.SoapApiClientTest","testSoapNumberToWords"
"Проверка полей пользователя различными способами","105","4. Валидация JSON структуры с Hamcrest матчерами","","Wed Apr 08 18:35:50 UTC 2026","passed","Wed Apr 08 18:35:50 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testJsonValidationWithHamcrest"
"Демонстрация GET запроса с корректными credentials","353","1. GET с Basic Auth - успешная авторизация","","Wed Apr 08 18:35:53 UTC 2026","passed","Wed Apr 08 18:35:53 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testGetWithBasicAuthSuccess"
"","16","6. Обновление токена через Refresh Token grant","","Wed Apr 08 18:35:43 UTC 2026","passed","Wed Apr 08 18:35:43 UTC 2026","","ru.learning.java.clients.api.OAuthApiClientTest","ru.learning.java.clients.api.OAuthApiClientTest","testRefreshToken"
"Некоторые API принимают ключ как 'ApiKey <token>' в Authorization","320","2. GET с API Key в заголовке Authorization (кастомный формат)","","Wed Apr 08 18:35:44 UTC 2026","passed","Wed Apr 08 18:35:44 UTC 2026","","ApiKeyClientTest — аутентификация через API Keys","ru.learning.java.clients.api.ApiKeyClientTest","testGetWithApiKeyInAuthorizationHeader"
"Создание поста из Java объекта","139","7. POST запрос с объектом","","Wed Apr 08 18:35:51 UTC 2026","passed","Wed Apr 08 18:35:51 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testPostRequestWithObject"
"Работа с Comment моделью через TestSpecification","140","3. Получение комментариев с детальным логированием","","Wed Apr 08 18:35:38 UTC 2026","passed","Wed Apr 08 18:35:38 UTC 2026","","Тесты с Allure отчетами через TestSpecification","ru.learning.java.allure.AllureIntegrationTest","testGetCommentsWithAllure"
"Проверяем все поля OAuthTokenResponse","19","2. Десериализация полного ответа токена в модель","","Wed Apr 08 18:35:43 UTC 2026","passed","Wed Apr 08 18:35:43 UTC 2026","","ru.learning.java.clients.api.OAuthApiClientTest","ru.learning.java.clients.api.OAuthApiClientTest","testTokenResponseDeserialization"
"","318","11. PATCH — частичное обновление через Map и ObjectMapper","","Wed Apr 08 18:35:52 UTC 2026","passed","Wed Apr 08 18:35:52 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testPatchOnHttpbinWithMap"
"Удаление поста","114","12. DELETE запрос","","Wed Apr 08 18:35:52 UTC 2026","passed","Wed Apr 08 18:35:52 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testDeleteRequest"
"Stripe и ряд других API принимают API Key как username в Basic Auth с пустым паролем","325","8. GET с API Key как Basic Auth username (Stripe-style)","","Wed Apr 08 18:35:47 UTC 2026","passed","Wed Apr 08 18:35:47 UTC 2026","","ApiKeyClientTest — аутентификация через API Keys","ru.learning.java.clients.api.ApiKeyClientTest","testGetWithApiKeyAsBasicAuth"
"Демонстрация DELETE запроса с авторизацией","278","6. DELETE с Basic Auth","","Wed Apr 08 18:35:54 UTC 2026","passed","Wed Apr 08 18:35:55 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testDeleteWithBasicAuth"
"","22","5. Ответ содержит refresh_token при Password grant","","Wed Apr 08 18:35:43 UTC 2026","passed","Wed Apr 08 18:35:43 UTC 2026","","ru.learning.java.clients.api.OAuthApiClientTest","ru.learning.java.clients.api.OAuthApiClientTest","testPasswordGrantReturnsRefreshToken"
"Валидация Content-Type и других заголовков","50","15. Проверка заголовков ответа","","Wed Apr 08 18:35:52 UTC 2026","passed","Wed Apr 08 18:35:52 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testResponseHeaders"
"","14","10. Запрос к защищённому ресурсу без токена → 401","","Wed Apr 08 18:35:44 UTC 2026","passed","Wed Apr 08 18:35:44 UTC 2026","","ru.learning.java.clients.api.OAuthApiClientTest","ru.learning.java.clients.api.OAuthApiClientTest","testGetProtectedResourceWithoutToken"
"Оба способа (header и query) доставляют ключ — демонстрация эквивалентности","593","10. Сравнение способов передачи API Key","","Wed Apr 08 18:35:47 UTC 2026","passed","Wed Apr 08 18:35:48 UTC 2026","","ApiKeyClientTest — аутентификация через API Keys","ru.learning.java.clients.api.ApiKeyClientTest","testHeaderVsQueryParamEquivalence"
"Демонстрация POST запроса с авторизацией","281","3. POST с Basic Auth","","Wed Apr 08 18:35:54 UTC 2026","passed","Wed Apr 08 18:35:54 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testPostWithBasicAuth"
"Демонстрация PATCH запроса с авторизацией","306","5. PATCH с Basic Auth","","Wed Apr 08 18:35:54 UTC 2026","passed","Wed Apr 08 18:35:54 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testPatchWithBasicAuth"
"Проверяем, что api_key передаётся как query-параметр","288","5. GET с API Key в query-параметре 'api_key'","","Wed Apr 08 18:35:45 UTC 2026","passed","Wed Apr 08 18:35:45 UTC 2026","","ApiKeyClientTest — аутентификация через API Keys","ru.learning.java.clients.api.ApiKeyClientTest","testGetWithApiKeyQueryParam"
"Демонстрация асинхронного выполнения POST запроса","120","2. Выполнение POST запроса через актор","","Wed Apr 08 18:35:59 UTC 2026","passed","Wed Apr 08 18:35:59 UTC 2026","","Примеры использования акторной модели","ru.learning.java.actors.HttpRequestActorTest","testPostRequestWithActor"
"Проверка десериализации одного комментария","55","19. GET запрос - получение конкретного комментария","","Wed Apr 08 18:35:52 UTC 2026","passed","Wed Apr 08 18:35:52 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testGetSingleComment"
"","19","4. Получение токена через Resource Owner Password grant","","Wed Apr 08 18:35:43 UTC 2026","passed","Wed Apr 08 18:35:43 UTC 2026","","ru.learning.java.clients.api.OAuthApiClientTest","ru.learning.java.clients.api.OAuthApiClientTest","testFetchTokenPassword"
"Обновление только заголовка поста","143","9. PATCH запрос - частичное обновление","","Wed Apr 08 18:35:51 UTC 2026","passed","Wed Apr 08 18:35:51 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testPatchRequest"
"GET запрос с form parameters в query string","416","3. GET с form parameters","","Wed Apr 08 18:35:49 UTC 2026","passed","Wed Apr 08 18:35:49 UTC 2026","","Тесты FormApiClient","ru.learning.java.clients.api.FormApiClientTest","testGetWithFormParams"
"PATCH запрос с form-encoded данными","284","7. PATCH с form parameters","","Wed Apr 08 18:35:50 UTC 2026","passed","Wed Apr 08 18:35:50 UTC 2026","","Тесты FormApiClient","ru.learning.java.clients.api.FormApiClientTest","testPatchWithFormParams"
"","316","1. Загрузка текстового файла","","Wed Apr 08 18:35:58 UTC 2026","passed","Wed Apr 08 18:35:58 UTC 2026","","Тесты MultipartApiClient","ru.learning.java.clients.api.MultipartApiClientTest","testUploadTextFile"
"Создание пользователя с логированием в Allure","251","2. POST запрос создания пользователя с Allure","","Wed Apr 08 18:35:37 UTC 2026","passed","Wed Apr 08 18:35:38 UTC 2026","","Тесты с Allure отчетами через TestSpecification","ru.learning.java.allure.AllureIntegrationTest","testCreateUserWithAllure"
"Альтернативный способ создания объекта CreateUserRequest","137","21. POST запрос - создание пользователя через конструктор","","Wed Apr 08 18:35:53 UTC 2026","passed","Wed Apr 08 18:35:53 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testCreateUserWithConstructor"
"","295","6. PUT с form params и session cookie","","Wed Apr 08 18:35:50 UTC 2026","passed","Wed Apr 08 18:35:50 UTC 2026","","Тесты FormApiClient","ru.learning.java.clients.api.FormApiClientTest","testPutFormParamsWithSession"
"Создание пользователя, поста и получение комментариев","578","5. Комплексный сценарий с множественными шагами","","Wed Apr 08 18:35:38 UTC 2026","passed","Wed Apr 08 18:35:39 UTC 2026","","Тесты с Allure отчетами через TestSpecification","ru.learning.java.allure.AllureIntegrationTest","testComplexScenarioWithAllure"
"","18","3. Токен ещё не истёк сразу после получения","","Wed Apr 08 18:35:43 UTC 2026","passed","Wed Apr 08 18:35:43 UTC 2026","","ru.learning.java.clients.api.OAuthApiClientTest","ru.learning.java.clients.api.OAuthApiClientTest","testTokenNotExpiredRightAfterIssue"
"Отправка формы в формате application/x-www-form-urlencoded","290","1. POST с form parameters (без cookies)","","Wed Apr 08 18:35:48 UTC 2026","passed","Wed Apr 08 18:35:48 UTC 2026","","Тесты FormApiClient","ru.learning.java.clients.api.FormApiClientTest","testPostWithFormParams"
"Демонстрация GET запроса с Bearer токеном","283","8. GET с Bearer Token","","Wed Apr 08 18:35:55 UTC 2026","passed","Wed Apr 08 18:35:55 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testGetWithBearerToken"
"Client Credentials → access_token → защищённый GET","39","8. Полный OAuth flow: получить токен → использовать для запроса","","Wed Apr 08 18:35:43 UTC 2026","passed","Wed Apr 08 18:35:44 UTC 2026","","ru.learning.java.clients.api.OAuthApiClientTest","ru.learning.java.clients.api.OAuthApiClientTest","testFullOAuthFlow"
"Демонстрация параллельной работы нескольких акторов","527","3. Параллельное выполнение нескольких запросов","","Wed Apr 08 18:35:59 UTC 2026","passed","Wed Apr 08 18:36:00 UTC 2026","","Примеры использования акторной модели","ru.learning.java.actors.HttpRequestActorTest","testMultipleParallelRequests"
"Демонстрация получения токена через POST запрос","336","7. Получение Bearer токена","","Wed Apr 08 18:35:55 UTC 2026","passed","Wed Apr 08 18:35:55 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testGetBearerToken"
"Проверка обработки несуществующего ресурса","56","4. Обработка ошибки в акторе","","Wed Apr 08 18:36:00 UTC 2026","passed","Wed Apr 08 18:36:00 UTC 2026","","Примеры использования акторной модели","ru.learning.java.actors.HttpRequestActorTest","testErrorHandlingInActor"
"API Key не должен вытеснять другие query-параметры","296","6. GET с API Key в query-параметре 'key' + дополнительные params","","Wed Apr 08 18:35:45 UTC 2026","passed","Wed Apr 08 18:35:46 UTC 2026","","ApiKeyClientTest — аутентификация через API Keys","ru.learning.java.clients.api.ApiKeyClientTest","testGetWithApiKeyQueryParamAlongsideOtherParams"
